,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
57,FoxNews,Tue Mar 20 14:50:58 +0000 2018,RT @MikeEmanuelFox: Congress still wrestling with a $1.3 trillion Omnibus funding package-facing a Friday night deadline-from @AmericaNewsr…,0.0,0.0,0.0,1.0,43
58,FoxNews,Tue Mar 20 14:48:56 +0000 2018,".@RajShah45: “We think that the DACA program, which President Obama put into effect, is illegal and unconstitutiona… https://t.co/4LUKeEULYx",-0.5574,0.0,0.175,0.825,42
59,FoxNews,Tue Mar 20 14:45:51 +0000 2018,.@RajShah45: “We remain confident that by the end of the week we’re going to have a funding bill that funds this Wh… https://t.co/RI6EK8Tmj4,0.4939,0.132,0.0,0.868,41
60,FoxNews,Tue Mar 20 14:41:33 +0000 2018,".@RajShah45: “The president maintains that there was no collusion, no obstruction in this matter and… once the spec… https://t.co/cFXXkLBS4m",-0.5065,0.052,0.204,0.743,40
61,FoxNews,Tue Mar 20 14:34:20 +0000 2018,.@VP Mike Pence delivers remarks commemorating @POTUS’s National Agriculture Day proclamation. https://t.co/fJArfSD6YY,0.0,0.0,0.0,1.0,39
62,FoxNews,Tue Mar 20 14:32:40 +0000 2018,"RT @FoxBusiness: ""We aren't interested in being PC, we aren't interested in being packaged, we're interested in being authentic.""

@EKANard…",-0.6979,0.0,0.285,0.715,38
63,FoxNews,Tue Mar 20 14:28:45 +0000 2018,".@newtgingrich: “Every time the president tweets about Robert Mueller, he makes Mueller bigger and more important.” https://t.co/njql6cmpCp",0.0,0.0,0.0,1.0,37
64,FoxNews,Tue Mar 20 14:18:16 +0000 2018,RT @FoxBusiness: #BreakingNews: @FedEx responds to explosion at facility near San Antonio. https://t.co/cD1ujWSnFY,0.0,0.0,0.0,1.0,36
65,FoxNews,Tue Mar 20 14:17:52 +0000 2018,"RT @FoxBusiness: .@charlipence on @iamjohnoliver's parody book on the second family's pet bunny: ""His book is contributing to charities tha…",0.4939,0.144,0.0,0.856,35
66,FoxNews,Tue Mar 20 14:00:08 +0000 2018,.@GOP leaders hold a news conference https://t.co/5IYWv0tMVJ,0.0,0.0,0.0,1.0,34
67,FoxNews,Tue Mar 20 13:37:05 +0000 2018,.@cvpayne on Wealthy Dems' Town Hall on Income Inequality: The 'Hypocrisy' Goes On https://t.co/Yt7Vex0DUO,0.3612,0.161,0.0,0.839,33
68,FoxNews,Tue Mar 20 13:22:50 +0000 2018,Disney to make live-action 'Lady and the Tramp' adaptation https://t.co/wB774V3s96,0.0,0.0,0.0,1.0,32
69,FoxNews,Tue Mar 20 13:17:54 +0000 2018,.@SenJohnKennedy: “The real issue in the budget is how can we properly fund the fence? How can we properly help our… https://t.co/q9jaM1xYVx,0.4019,0.114,0.0,0.886,31
70,FoxNews,Tue Mar 20 13:14:58 +0000 2018,.@SenJohnKennedy: “We need a budget. It’s embarrassing that we don’t have one.” https://t.co/GVm2rr98Zf,-0.3818,0.0,0.191,0.809,30
71,FoxNews,Tue Mar 20 13:11:45 +0000 2018,"Device explodes in FedEx building outside San Antonio, police say (via @RyanGaydos @travfed)  https://t.co/fqlCo4ZcKf",0.0,0.0,0.0,1.0,29
72,FoxNews,Tue Mar 20 12:56:56 +0000 2018,"RT @FoxBusiness: Volkswagen to build new SUV at Tennessee plant, invest $340M https://t.co/zGiebJcleQ https://t.co/82YePpALMY",0.0,0.0,0.0,1.0,28
73,FoxNews,Tue Mar 20 12:55:20 +0000 2018,.@PressSec: “Sanctuary cities are a dangerous thing… When cities start picking and choosing laws that they want to… https://t.co/6uaFY6NomM,-0.4215,0.064,0.152,0.784,27
74,FoxNews,Tue Mar 20 12:50:16 +0000 2018,.@PressSec: “The Democrats would much rather use DACA recipients as pawns instead of actually putting real solution… https://t.co/jglYrrBerZ,0.0,0.0,0.0,1.0,26
75,FoxNews,Tue Mar 20 12:43:18 +0000 2018,"JUST IN: Shooting at Great Mills High School in Maryland, school confirms https://t.co/PR7p3gulEQ",0.6249,0.255,0.0,0.745,25
76,FoxNews,Tue Mar 20 12:33:00 +0000 2018,.@JessicaTarlov: “I think Hillary Clinton is genuinely sorry that she offended anyone.” https://t.co/UOh5woSUKR,-0.3182,0.0,0.231,0.769,24
77,FoxNews,Tue Mar 20 12:26:59 +0000 2018,Austin package bomb attacks timeline https://t.co/i519X5gFs5,-0.7269,0.0,0.604,0.396,23
78,FoxNews,Tue Mar 20 12:12:41 +0000 2018,China's Xi takes swipe at Trump's new 'doomed to failure' Taiwan policy in nationalistic speech https://t.co/gMVXLkYPSs,-0.8176,0.0,0.349,0.651,22
79,FoxNews,Tue Mar 20 11:58:45 +0000 2018,Shelley Hasselbrink on @foxandfriends: “We need to not support illegal anything in our city.”… https://t.co/nt2OQNrDi7,0.1695,0.161,0.124,0.715,21
80,FoxNews,Tue Mar 20 11:51:24 +0000 2018,Students volunteer to lower and fold flag @foxandfriends https://t.co/Z2a5vECREF,-0.296,0.0,0.216,0.784,20
81,FoxNews,Tue Mar 20 11:40:50 +0000 2018,"Device explodes in FedEx building outside San Antonio, police say https://t.co/X5flwoWkDc https://t.co/WT7b1ypnLm",0.0,0.0,0.0,1.0,19
82,FoxNews,Tue Mar 20 11:33:15 +0000 2018,Mark Penn on @HillaryClinton: “It’s time for her to talk about the issues that she spent her life on. Forget the el… https://t.co/YrJzEDXDAD,-0.2263,0.0,0.079,0.921,18
83,FoxNews,Tue Mar 20 11:15:08 +0000 2018,John Oliver slammed for 'controversial and partisan' mockery of Pence family bunny https://t.co/VZBU4q9OV2,-0.4767,0.0,0.272,0.728,17
84,FoxNews,Tue Mar 20 11:11:58 +0000 2018,OPINION: Cal Thomas: California's pro-abortion FACT Act is an attack on free speech https://t.co/GVHx2n5X6M,0.0516,0.179,0.168,0.652,16
85,FoxNews,Tue Mar 20 11:08:29 +0000 2018,.@Judgenap and @foxandfriends: “Congress and the states can’t force speech…The government can’t force you to expres… https://t.co/r0onh4zRKS,0.0,0.0,0.0,1.0,15
86,FoxNews,Tue Mar 20 11:03:21 +0000 2018,"Southern California town stands up to state, votes to reject sanctuary law https://t.co/UCWhWd0DR2",-0.4019,0.0,0.184,0.816,14
87,FoxNews,Tue Mar 20 11:00:09 +0000 2018,"UPDATE: San Antonio FedEx blast likely linked to Austin bombings, FBI says https://t.co/ATafK5ix9q",0.0,0.0,0.0,1.0,13
88,FoxNews,Tue Mar 20 10:55:09 +0000 2018,"OPINION: Retired US, British and French top generals: In a dangerous world, everyone needs trustworthy friends https://t.co/2STh0ZKUaW",0.6597,0.36,0.131,0.508,12
89,FoxNews,Tue Mar 20 10:53:44 +0000 2018,.@cvpayne on @foxandfriends: “Everywhere where progressives have been in control…they are the worst places in this… https://t.co/CGkhXK38Mq,-0.6249,0.0,0.204,0.796,11
90,FoxNews,Tue Mar 20 10:48:15 +0000 2018,.@JaniceDean gives an update on the weather on @foxandfriends https://t.co/fz3Gjg2Rm2,0.0,0.0,0.0,1.0,10
91,FoxNews,Tue Mar 20 10:43:10 +0000 2018,"Device explodes in FedEx building outside San Antonio, police say https://t.co/fqlCo4ZcKf  @ToddPiro https://t.co/oeyNdDyV8m",0.0,0.0,0.0,1.0,9
92,FoxNews,Tue Mar 20 10:34:28 +0000 2018,.@JessicaTarlov on @foxandfriends: “I think Hillary Clinton is genuinely sorry that she offended anyone.” https://t.co/YGJFlzp2cT,-0.3182,0.0,0.202,0.798,8
93,FoxNews,Tue Mar 20 10:30:01 +0000 2018,".@POTUS on drug traffickers: “My Department of Justice will be seeking so many, much tougher penalties than we’ve e… https://t.co/hXtL5sIoR9",0.6557,0.23,0.0,0.77,7
94,FoxNews,Tue Mar 20 10:27:41 +0000 2018,Terry Turchie on device explosion at a FedEx facility in Texas @foxandfriends https://t.co/fqlCo4ZcKf https://t.co/RsiHNjun4u,0.0,0.0,0.0,1.0,6
95,FoxNews,Tue Mar 20 10:19:25 +0000 2018,Uber's self-driving car accident latest hit to ride-share's reputation https://t.co/tmOkJ4SQ5w,-0.4767,0.0,0.256,0.744,5
96,FoxNews,Tue Mar 20 10:15:00 +0000 2018,Arrested spring breakers flash big smiles on bus headed to jail https://t.co/152dQdRxCG,0.0,0.191,0.191,0.617,4
97,FoxNews,Tue Mar 20 10:08:00 +0000 2018,".@POTUS: “We pay, as a country, so much more for drugs because of the drug lobbies &amp; other reasons…If you compare o… https://t.co/Vv2JZiD9IV",-0.1027,0.0,0.062,0.938,3
98,FoxNews,Tue Mar 20 10:04:46 +0000 2018,"JUST IN: Device explodes in FedEx building outside San Antonio, police say https://t.co/fqlCo4ZcKf https://t.co/ViApZh4klP",0.0,0.0,0.0,1.0,2
99,FoxNews,Tue Mar 20 10:00:03 +0000 2018,"During a speech about new efforts to fight the opioid crisis on Monday, @POTUS once again called for a border wall,… https://t.co/rRGzZsOkDV",-0.7717,0.0,0.271,0.729,1
100,CBS,Tue Mar 20 17:58:43 +0000 2018,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,0.0,0.0,0.0,1.0,100
101,CBS,Tue Mar 20 16:52:42 +0000 2018,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,0.5562,0.174,0.0,0.826,99
102,CBS,Tue Mar 20 16:11:00 +0000 2018,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",0.0,0.0,0.0,1.0,98
